year,city,country,avg_temp,year_global,avg_temp_global
1882,Barcelona,Spain,16.29,1882,8.13
1883,Barcelona,Spain,15.47,1883,7.98
1884,Barcelona,Spain,15.65,1884,7.77
1885,Barcelona,Spain,15.54,1885,7.92
1886,Barcelona,Spain,15.51,1886,7.95
1887,Barcelona,Spain,14.9,1887,7.91
1888,Barcelona,Spain,15.24,1888,8.09
1889,Barcelona,Spain,15.28,1889,8.32
1890,Barcelona,Spain,15.14,1890,7.97
1891,Barcelona,Spain,15.52,1891,8.02
1892,Barcelona,Spain,15.97,1892,8.07
1893,Barcelona,Spain,16.27,1893,8.06
1894,Barcelona,Spain,15.83,1894,8.16
1895,Barcelona,Spain,16.31,1895,8.15
1896,Barcelona,Spain,15.42,1896,8.21
1897,Barcelona,Spain,16.64,1897,8.29
1898,Barcelona,Spain,16.16,1898,8.18
1899,Barcelona,Spain,16.73,1899,8.4
1900,Barcelona,Spain,16.24,1900,8.5
1901,Barcelona,Spain,15.51,1901,8.54
1902,Barcelona,Spain,15.99,1902,8.3
1903,Barcelona,Spain,15.65,1903,8.22
1904,Barcelona,Spain,16.4,1904,8.09
1905,Barcelona,Spain,15.75,1905,8.23
1906,Barcelona,Spain,15.76,1906,8.38
1907,Barcelona,Spain,15.83,1907,7.95
1908,Barcelona,Spain,16.05,1908,8.19
1909,Barcelona,Spain,15.32,1909,8.18
1910,Barcelona,Spain,15.62,1910,8.22
1911,Barcelona,Spain,16.3,1911,8.18
1912,Barcelona,Spain,15.8,1912,8.17
1913,Barcelona,Spain,16.32,1913,8.3
1914,Barcelona,Spain,15.81,1914,8.59
1915,Barcelona,Spain,15.83,1915,8.59
1916,Barcelona,Spain,15.97,1916,8.23
1917,Barcelona,Spain,15.22,1917,8.02
1918,Barcelona,Spain,15.41,1918,8.13
1919,Barcelona,Spain,15.3,1919,8.38
1920,Barcelona,Spain,16.28,1920,8.36
1921,Barcelona,Spain,16.28,1921,8.57
1922,Barcelona,Spain,15.94,1922,8.41
1923,Barcelona,Spain,16.03,1923,8.42
1924,Barcelona,Spain,16.15,1924,8.51
1925,Barcelona,Spain,15.49,1925,8.53
1926,Barcelona,Spain,16.61,1926,8.73
1927,Barcelona,Spain,16.57,1927,8.52
1928,Barcelona,Spain,16.74,1928,8.63
1929,Barcelona,Spain,16.18,1929,8.24
1930,Barcelona,Spain,16.5,1930,8.63
1931,Barcelona,Spain,16.15,1931,8.72
1932,Barcelona,Spain,15.84,1932,8.71
1933,Barcelona,Spain,16.09,1933,8.34
1934,Barcelona,Spain,16.37,1934,8.63
1935,Barcelona,Spain,16.1,1935,8.52
1936,Barcelona,Spain,16.03,1936,8.55
1937,Barcelona,Spain,16.91,1937,8.7
1938,Barcelona,Spain,16.17,1938,8.86
1939,Barcelona,Spain,16.01,1939,8.76
1940,Barcelona,Spain,16.01,1940,8.76
1941,Barcelona,Spain,15.57,1941,8.77
1942,Barcelona,Spain,16.26,1942,8.73
1943,Barcelona,Spain,16.88,1943,8.76
1944,Barcelona,Spain,16.05,1944,8.85
1945,Barcelona,Spain,16.84,1945,8.58
1946,Barcelona,Spain,16.19,1946,8.68
1947,Barcelona,Spain,17.08,1947,8.8
1948,Barcelona,Spain,16.9,1948,8.75
1949,Barcelona,Spain,17.18,1949,8.59
1950,Barcelona,Spain,16.86,1950,8.37
1951,Barcelona,Spain,15.88,1951,8.63
1952,Barcelona,Spain,16.66,1952,8.64
1953,Barcelona,Spain,16.41,1953,8.87
1954,Barcelona,Spain,15.99,1954,8.56
1955,Barcelona,Spain,16.72,1955,8.63
1956,Barcelona,Spain,15.34,1956,8.28
1957,Barcelona,Spain,15.89,1957,8.73
1958,Barcelona,Spain,16.5,1958,8.77
1959,Barcelona,Spain,16.46,1959,8.73
1960,Barcelona,Spain,16.16,1960,8.58
1961,Barcelona,Spain,17.04,1961,8.8
1962,Barcelona,Spain,16.09,1962,8.75
1963,Barcelona,Spain,15.77,1963,8.86
1964,Barcelona,Spain,16.54,1964,8.41
1965,Barcelona,Spain,16.02,1965,8.53
1966,Barcelona,Spain,16.52,1966,8.6
1967,Barcelona,Spain,16.54,1967,8.7
1968,Barcelona,Spain,16.47,1968,8.52
1969,Barcelona,Spain,15.78,1969,8.6
1970,Barcelona,Spain,16.35,1970,8.7
1971,Barcelona,Spain,16.07,1971,8.6
1972,Barcelona,Spain,15.54,1972,8.5
1973,Barcelona,Spain,16.1,1973,8.95
1974,Barcelona,Spain,15.89,1974,8.47
1975,Barcelona,Spain,16.02,1975,8.74
1976,Barcelona,Spain,15.98,1976,8.35
1977,Barcelona,Spain,16.07,1977,8.85
1978,Barcelona,Spain,16.05,1978,8.69
1979,Barcelona,Spain,16.36,1979,8.73
1980,Barcelona,Spain,15.86,1980,8.98
1981,Barcelona,Spain,16.56,1981,9.17
1982,Barcelona,Spain,16.95,1982,8.64
1983,Barcelona,Spain,16.83,1983,9.03
1984,Barcelona,Spain,15.9,1984,8.69
1985,Barcelona,Spain,16.45,1985,8.66
1986,Barcelona,Spain,16.61,1986,8.83
1987,Barcelona,Spain,16.8,1987,8.99
1988,Barcelona,Spain,17,1988,9.2
1989,Barcelona,Spain,17.43,1989,8.92
1990,Barcelona,Spain,17.3,1990,9.23
1991,Barcelona,Spain,16.37,1991,9.18
1992,Barcelona,Spain,16.35,1992,8.84
1993,Barcelona,Spain,16.28,1993,8.87
1994,Barcelona,Spain,17.51,1994,9.04
1995,Barcelona,Spain,17.33,1995,9.35
1996,Barcelona,Spain,16.72,1996,9.04
1997,Barcelona,Spain,17.66,1997,9.2
1998,Barcelona,Spain,17.15,1998,9.52
1999,Barcelona,Spain,17.14,1999,9.29
2000,Barcelona,Spain,17.15,2000,9.2
2001,Barcelona,Spain,17.27,2001,9.41
2002,Barcelona,Spain,17.16,2002,9.57
2003,Barcelona,Spain,17.73,2003,9.53
2004,Barcelona,Spain,17.12,2004,9.32
2005,Barcelona,Spain,16.69,2005,9.7
2006,Barcelona,Spain,17.81,2006,9.53
2007,Barcelona,Spain,17.24,2007,9.73
2008,Barcelona,Spain,16.92,2008,9.43
2009,Barcelona,Spain,17.45,2009,9.51
2010,Barcelona,Spain,16.51,2010,9.7
2011,Barcelona,Spain,17.9,2011,9.52
2012,Barcelona,Spain,17.51,2012,9.51
2013,Barcelona,Spain,17,2013,9.61
